WOT-DATA,1,Maximum speed: forward
china-Ch01_Type59,56
china-Ch02_Type62,50
china-Ch03_WZ-111,50
france-_105_leFH18B2,28
france-AMX_105AM,60
france-AMX_12t,60
france-AMX_13_75,61
france-AMX_13_90,64
france-AMX_13F3AM,60
france-AMX_50_100,51
france-AMX_50_120,65
france-AMX_50Fosh_155,50
france-AMX_AC_Mle1946,50
france-AMX_AC_Mle1948,50
france-AMX_M4_1945,35
france-AMX38,25
france-AMX40,50
france-AMX50_Foch,50
france-ARL_44,37
france-ARL_V39,42
france-B1,28
france-Bat_Chatillon155,62
france-Bat_Chatillon25t,65
france-BDR_G1B,30
france-D1,28
france-D2,23
france-ELC_AMX,65
france-F10_AMX_50B,65
france-FCM_36Pak40,24
france-FCM_50t,51
france-Hotchkiss_H35,27
france-Lorraine155_50,60
france-Lorraine155_51,60
france-Lorraine39_L_AM,37
france-Lorraine40t,60
france-RenaultBS,19
france-RenaultFT,21
france-RenaultFT_AC,21
france-RenaultUE57,36
france-S_35CA,37
france-Somua_Sau_40,37
germany-B-1bis_captured,30
germany-Bison_I,40
germany-DickerMax,40
germany-E-100,30
germany-E-50,60
germany-E50_Ausf_M,60
germany-E-75,30
germany-Ferdinand,30
germany-G_E,40
germany-G_Panther,48
germany-G_Tiger,35
germany-G20_Marder_II,40
germany-Grille,35
germany-H39_captured,37
germany-Hetzer,42
germany-Hummel,40
germany-JagdPanther,46
germany-JagdPantherII,45
germany-JagdPz_E100,30
germany-JagdPzIV,38
germany-JagdTiger,28
germany-JagdTiger_SdKfz_185,28
germany-Lowe,35
germany-Ltraktor,36
germany-Maus,20
germany-Panther_II,55
germany-Panther_M10,46
germany-PanzerJager_I,40
germany-Pz35t,35
germany-Pz38_NA,62
germany-Pz38t,42
germany-PzII,40
germany-PzII_J,31
germany-PzII_Luchs,60
germany-PzIII,64
germany-PzIII_A,68
germany-PzIII_IV,55
germany-PzIV,48
germany-PzIV_Hydro,48
germany-PzIV_schmalturm,48
germany-PzV,48
germany-PzV_PzIV,55
germany-PzV_PzIV_ausf_Alfa,55
germany-PzVI,30
germany-PzVI_Tiger_P,35
germany-PzVIB_Tiger_II,28
germany-S35_captured,37
germany-StuGIII,40
germany-Sturmpanzer_II,40
germany-T-15,60
germany-T-25,60
germany-VK1602,68
germany-VK2801,72
germany-VK3001H,55
germany-VK3001P,60
germany-VK3002DB,56
germany-VK3601H,40
germany-VK4502A,38
germany-VK4502P,30
germany-Wespe,40
uk-GB01_Medium_Mark_I,24
uk-GB03_Cruiser_Mk_I,40
uk-GB04_Valentine,24
uk-GB05_Vickers_Medium_Mk_II,40
uk-GB06_Vickers_Medium_Mk_III,48
uk-GB07_Matilda,24
uk-GB08_Churchill_I,26
uk-GB09_Churchill_VII,20
uk-GB10_Black_Prince,20
uk-GB11_Caernarvon,34
uk-GB12_Conqueror,34
uk-GB13_FV215b,34
uk-GB20_Crusader,44
uk-GB21_Cromwell,64
uk-GB22_Comet,52
uk-GB23_Centurion,40
uk-GB24_Centurion_Mk3,40
uk-GB58_Cruiser_Mk_III,48
uk-GB59_Cruiser_Mk_IV,48
uk-GB60_Covenanter,50
uk-GB63_TOG_II,14
uk-GB68_Matilda_Black_Prince,22
uk-GB69_Cruiser_Mk_II,40
uk-GB70_FV4202_105,40
uk-GB71_AT_15A,20
usa-M10_Wolverine,48
usa-M103,34
usa-M12,39
usa-M18_Hellcat,72
usa-M2_lt,58
usa-M2_med,43
usa-M22_Locust,64
usa-M24_Chaffee,56
usa-M3_Grant,38
usa-M3_Stuart,61
usa-M36_Slagger,42
usa-M37,56
usa-M4_Sherman,48
usa-M40M43,39
usa-M41,56
usa-M46_Patton,48
usa-M48A1,45
usa-M4A2E4,52
usa-M4A3E8_Sherman,48
usa-M5_Stuart,58
usa-M6,35
usa-M6A2E1,29
usa-M7_med,60
usa-M7_Priest,39
usa-M8A1,58
usa-MTLS-1G14,42
usa-Pershing,48
usa-Ram-II,38
usa-Sherman_Jumbo,35
usa-T1_Cunningham,41
usa-T1_E6,48
usa-T1_hvy,35
usa-T110,37
usa-T110E3,24
usa-T110E4,35
usa-T14,34
usa-T18,48
usa-T2_lt,72
usa-T2_med,40
usa-T20,56
usa-T25_2,56
usa-T25_AT,56
usa-T26_E4_SuperPershing,38
usa-T28,18
usa-T28_Prototype,18
usa-T29,35
usa-T30,35
usa-T32,35
usa-T34_hvy,35
usa-T40,38
usa-T49,61
usa-T57,40
usa-T82,48
usa-T92,40
usa-T95,13
ussr-A-20,72
ussr-A-32,70
ussr-AT-1,30
ussr-BT-2,55
ussr-BT-7,66
ussr-BT-SV,62
ussr-Churchill_LL,28
ussr-GAZ-74b,43
ussr-IS,34
ussr-IS-3,38
ussr-IS-4,43
ussr-IS-7,50
ussr-IS8,50
ussr-ISU-152,43
ussr-KV,34
ussr-KV1,34
ussr-KV-13,50
ussr-KV-1s,43
ussr-KV2,35
ussr-KV-220,33
ussr-KV-220_action,33
ussr-KV-3,32
ussr-KV4,30
ussr-KV-5,40
ussr-M3_Stuart_LL,61
ussr-Matilda_II_LL,25
ussr-MS-1,32
ussr-Object_212,32
ussr-Object_261,50
ussr-Object_704,37
ussr-Object252,35
ussr-Object263,55
ussr-Object268,48
ussr-S-51,32
ussr-ST_I,40
ussr-SU_85I,55
ussr-SU-100,50
ussr-SU100M1,50
ussr-SU-101,54
ussr-SU122_44,48
ussr-SU122_54,48
ussr-SU-14,31
ussr-SU-152,43
ussr-SU-18,20
ussr-SU-26,30
ussr-SU-5,30
ussr-SU-76,48
ussr-SU-8,33
ussr-SU-85,55
ussr-T_50_2,72
ussr-T-127,38
ussr-T150,35
ussr-T-26,36
ussr-T-28,45
ussr-T-34,56
ussr-T-34-85,54
ussr-T-43,51
ussr-T-44,51
ussr-T-46,58
ussr-T-50,60
ussr-T-54,56
ussr-T62A,50
ussr-Tetrarch_LL,64
ussr-Valentine_LL,32
